url, value
photo_2021-12-01 22.19.32.jpeg, 1
photo_2021-12-01 22.19.35.jpeg, 0
photo_2021-12-01 22.19.38.jpeg, 0
photo_2021-12-01 22.19.44.jpeg, 0
photo_2021-12-01 22.19.47.jpeg, 1
photo_2021-12-01 22.19.53.jpeg, 1
photo_2021-12-01 22.19.59.jpeg, 1
photo_2021-12-01 22.20.04.jpeg, 0
photo_2021-12-01 22.20.08.jpeg, 0
photo_2021-12-01 22.20.13.jpeg, 0
photo_2021-12-01 22.20.17.jpeg, 1
photo_2021-12-01 22.20.22.jpeg, 0
photo_2021-12-01 22.20.27.jpeg, 0
photo_2021-12-01 22.20.32.jpeg, 1
photo_2021-12-01 22.20.37.jpeg, 0
photo_2021-12-01 22.20.42.jpeg, 1
photo_2021-12-01 22.20.46.jpeg, 1
photo_2021-12-01 22.20.51.jpeg, 0
photo_2021-12-01 22.20.55.jpeg, 1
photo_2021-12-01 22.21.00.jpeg, 0
photo_2021-12-01 22.21.05.jpeg, 0
photo_2021-12-01 22.21.10.jpeg, 1
photo_2021-12-01 22.21.14.jpeg, 1
photo_2021-12-01 22.21.19.jpeg, 1
photo_2021-12-01 22.21.23.jpeg, 1
photo_2021-12-01 22.21.28.jpeg, 1
photo_2021-12-01 22.21.33.jpeg, 0
photo_2021-12-01 22.21.38.jpeg, 0
photo_2021-12-01 22.21.42.jpeg, 0




